Hugo_Symbol	MF: BLCA
A1BG	0.019329749820645524
A1CF	0.009195230019651139
A2M	0.0337797351722036
A2ML1	0.028382156872216617
A3GALT2	0.0024213035764148482
A4GALT	0.0024092770773429446
A4GNT	0.004850128163876834
AAAS	0.011871222247051217
AACS	0.009620060791991295
AACSP1	0.0024303235270702788
AADAC	0.0072731868045597505
AADACL2	0.009646204357424373
AADACL3	0.009651322879910808
AADACL4	0.01210294283493302
AADAT	0.007235463125093943
AAED1	0.0023761960428607736
AAGAB	0.009351160861065768
AAK1	0.009077492272751802
AAMP	0.009631499503938363
AANAT	0.004853027881674028
AAR2	0.014333524893520959
AARD	0.0072527069074388075
AARS	0.011940617712478419
AARS2	0.012003880958701706
AASDH	0.02802676366100973
AASDHPPT	0.0023757103782939487
AASS	0.031054132035778982
AATF	0.012139570617910381
AATK	0.016715262579585444
ABCA1	0.028116174926051264
ABCA10	0.024026058368295727
ABCA12	0.06622386902048308
ABCA13	0.1066444725907907
ABCA17P	0.0024055654454342057
ABCA2	0.031840515382127774
ABCA3	0.02088026361002936
ABCA4	0.028351962451615472
ABCA5	0.01849367726044411
ABCA6	0.04955523761149628
ABCA7	0.02965310349947007
ABCA8	0.03687570085614609
ABCA9	0.03983481178056839
ABCB1	0.03044980883965514
ABCB10	0.014469858814523808
ABCB11	0.007015205182467599
ABCB4	0.027307891730020743
ABCB5	0.062146382589136004
ABCB6	0.014439573125491802
ABCB7	0.007175549411220502
ABCB8	0.01827885798645074
ABCB9	0.006931468134443221
ABCC1	0.02825577196454133
ABCC10	0.021613005044052017
ABCC11	0.03992025087676549
ABCC12	0.03588509667445774
ABCC2	0.023638269049176874
ABCC3	0.03336727470882983
ABCC4	0.03039713185508676
ABCC5	0.04684204530977309
ABCC6	0.014204859708785305
ABCC6P1	0.004848842151069615
ABCC6P2	0.0024308713418462018
ABCC8	0.022255417665920554
ABCC9	0.039802312640515314
ABCD1	0.012109809230808835
ABCD2	0.018841868804236044
ABCD3	0.019299031402912142
ABCD4	0.004831487816970033
ABCE1	0.019140070481465984
ABCF1	0.01434189689718123
ABCF2	0.004826219669326116
ABCF3	0.009613095948550898
ABCG1	0.013576654288706606
ABCG2	0.025639974549704073
ABCG4	0.01438657369089599
ABCG5	0.01193018363008903
ABCG8	0.0024168028632057708
ABHD1	0.007277602618433386
ABHD10	0.011918182867728156
ABHD11	0.012112223491175302
ABHD12	0.019321853675014076
ABHD12B	0.0024207018909466397
ABHD13	0.009612039010566356
ABHD14A-ACY1	0.009628766797506952
ABHD14B	0.004753375025284164
ABHD15	0.016933079221386038
ABHD16A	0.021759332879224873
ABHD16B	0.0024304036660107407
ABHD17AP6	0.007286284266935106
ABHD17B	0.004501772010460406
ABHD17C	0.004854195391482271
ABHD2	0.00941860254253912
ABHD3	0.01927588862613006
ABHD4	0.0024087175563237734
ABHD5	0.0047113139669996435
ABHD6	0.004835727493620066
ABHD8	0.007270534414138432
ABI1	0.012463873469661518
ABI2	0.015318963947652605
ABI3	0.0048445858735733085
ABI3BP	0.025562827350909003
ABL1	0.01434545707826649
ABL2	0.02237439114371625
ABLIM1	0.017651948198587807
ABLIM2	0.013747410860223635
ABLIM3	0.0069886008347255415
ABO	0.007261672565051707
ABR	0.01432588281586508
ABRA	0.012105040480466211
ABT1	0.0072245620341818495
ABTB1	0.0023901352732465897
ABTB2	0.0048232757845246355
AC003958.2	0.0070770711261959555
AC004076.9	0.002428268807198876
AC004381.6	0.014297130452403325
